ApplicantName,CGPA,AttemptCount,RemoteStudent,Probation,HighRisk,TermExceeded,AtRisk,AtRiskSSC,OtherModules,PlagiarismHistory,CW1,CW2,ESE,Online C,Online O,Played,Paused,Likes,Segment,Result
Student 163,Good,Low,No,No,No,No,No,No,Low,Low,Good,Adequate,Adequate,Very Good,Good,1,0,0,0,Pass
Student 164,Adequate,Low,No,No,No,No,No,No,High,Low,Good,Fair,Fair,Excellent,Good,1,0,0,0,Pass
Student 165,Very Good,Low,No,No,No,No,Yes,No,Low,Low,Fail,Adequate,Good,Fair,Good,3,1,2,2,Pass
Student 166,Fair,Low,No,No,No,No,No,No,Low,Low,Fair,Very Good,Good,Excellent,Very Good,1,0,0,0,Pass
Student 167,Fair,Low,No,No,No,No,No,No,High,Low,Good,Very Good,Adequate,Very Good,Very Good,2,2,1,1,Pass
Student 168,Adequate,Low,No,No,No,No,No,No,Low,Low,Fair,Adequate,Fair,Good,Good,3,1,1,2,Pass
Student 169,Adequate,Low,No,No,No,No,Yes,No,Medium,Low,Very Good,Very Good,Adequate,Very Good,Fair,8,13,0,7,Fail
Student 170,Adequate,Low,No,No,No,No,Yes,No,Medium,Low,Very Good,Excellent,Good,Good,Excellent,5,3,0,4,Pass
Student 171,Adequate,Low,No,No,No,No,Yes,No,High,Low,Good,Excellent,Adequate,Good,Very Good,5,7,1,4,Pass
Student 172,Adequate,Low,No,No,No,No,No,No,High,Low,Fair,Very Good,Adequate,Good,Poor,1,7,2,0,Pass
Student 173,Fair,Low,No,No,No,No,Yes,No,High,Low,Fair,Good,Adequate,Good,Good,1,1,0,0,Pass
Student 174,Fair,Low,No,No,No,No,No,No,Low,Low,Adequate,Adequate,Fail,Good,Good,1,0,0,0,Pass
Student 175,Adequate,Low,No,No,No,No,No,No,High,Low,Adequate,Fair,Fail,Very Good,Good,1,1,1,0,Pass
Student 176,Fair,Low,No,No,No,No,Yes,No,Low,Low,Adequate,Adequate,Fair,Good,Good,6,7,0,5,Fail
Student 177,Adequate,Low,No,No,No,No,Yes,No,Low,Low,Good,Very Good,Fail,Good,Poor,1,0,1,0,Pass
Student 178,Adequate,Low,No,No,No,No,Yes,No,Low,Low,Very Good,Very Good,Very Good,Very Good,Good,3,0,1,2,Pass
Student 179,Very Good,Low,No,No,No,No,No,No,Low,Low,Adequate,Excellent,Fair,Good,Very Good,1,0,1,0,Pass
Student 180,Adequate,Low,No,No,No,No,Yes,No,Medium,Low,Good,Very Good,Adequate,Good,Very Good,1,0,0,0,Pass
Student 181,Fair,Low,No,No,No,No,No,No,High,Low,Adequate,Adequate,Fair,Excellent,Poor,1,0,0,0,Pass
Student 182,Fair,Low,No,No,No,No,No,No,Low,Low,Adequate,Fair,Fail,Good,Poor,1,6,0,0,Pass
Student 183,Fair,Low,No,No,No,No,No,No,Low,Low,Adequate,Good,Fail,Very Good,Poor,1,4,0,0,Pass
Student 184,Fair,Low,No,No,No,No,No,No,Low,Low,Very Good,Very Good,Fail,Fair,Good,1,3,1,0,Pass
Student 185,Good,Low,No,No,No,No,No,No,Low,Low,Very Good,Adequate,Fair,Fair,Poor,1,4,0,0,Pass
Student 186,Adequate,High,No,No,Yes,No,No,No,Medium,Low,Good,Good,Fail,Good,Adequate,1,5,0,0,Fail
Student 187,Good,Low,No,No,No,No,No,No,Low,Low,Good,Excellent,Adequate,Good,Poor,1,5,0,0,Pass
Student 188,Very Good,Low,No,No,No,No,No,No,High,Low,Excellent,Very Good,Good,Excellent,Poor,1,5,0,0,Pass
Student 189,Fair,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Excellent,Excellent,Excellent,1,2,0,0,Pass
Student 190,Adequate,Medium,No,No,No,No,Yes,No,Medium,Low,Fail,Fail,Excellent,Good,Very Good,2,0,2,1,Pass
Student 191,Adequate,Low,No,No,No,No,No,No,Low,Low,Fail,Fail,Excellent,Fair,Very Good,1,0,0,0,Pass
Student 192,Adequate,Low,No,No,Yes,No,No,No,High,Low,Fail,Fail,Excellent,Fair,Very Good,1,1,0,0,Pass
Student 193,Adequate,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Excellent,Good,Excellent,1,1,0,0,Pass
Student 194,Excellent,Low,No,No,No,No,No,No,Low,Low,Fail,Fail,Very Good,Good,Poor,3,1,2,2,Pass
Student 195,Adequate,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Very Good,Very Good,Very Good,1,0,0,0,Pass
Student 196,Adequate,Medium,No,No,No,No,Yes,Yes,Medium,Low,Fail,Fail,Very Good,Excellent,Excellent,2,2,1,1,Pass
Student 197,Adequate,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Very Good,Good,Excellent,3,1,1,2,Pass
Student 198,Adequate,Medium,No,Yes,Yes,No,Yes,Yes,Medium,Low,Fail,Fail,Very Good,Very Good,Very Good,8,13,1,7,Pass
Student 199,Adequate,Medium,No,No,No,No,Yes,Yes,High,Low,Fail,Fail,Very Good,Excellent,Excellent,5,3,0,4,Pass
Student 200,Adequate,Low,No,No,Yes,No,No,No,High,Low,Fail,Fail,Very Good,Good,Good,5,7,1,4,Pass
Student 201,Adequate,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Good,Excellent,Good,1,7,2,0,Pass
Student 202,Very Good,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Good,Fair,Fair,1,1,1,0,Pass
Student 203,Fair,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Good,Excellent,Excellent,1,0,1,0,Pass
Student 204,Fair,Medium,No,No,No,No,Yes,No,Medium,Low,Fail,Fail,Good,Poor,Good,1,1,1,0,Pass
Student 205,Fair,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Fair,Excellent,Adequate,6,7,0,5,Pass
Student 206,Adequate,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Fair,Poor,Excellent,1,0,1,0,Pass
Student 207,Good,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Fair,Very Good,Good,3,0,1,2,Pass
Student 208,Very Good,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Adequate,Adequate,Good,5,0,1,3,Pass
Student 209,Fair,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Adequate,Excellent,Very Good,1,4,3,3,Pass
Student 210,Fair,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Fail,Good,Poor,5,0,2,5,Fail
Student 211,Fair,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Fail,Excellent,Fair,5,0,1,3,Fail
Student 212,Fair,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Adequate,Excellent,Excellent,4,0,2,3,Pass
Student 213,Fair,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Fail,Good,Good,5,1,3,3,Fail
Student 214,Very Good,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Fail,Excellent,Fair,0,2,0,3,Fail
Student 215,Adequate,Low,No,No,No,No,Yes,No,Medium,Low,Fail,Fail,Fail,Very Good,Poor,4,3,2,5,Fail
Student 216,Very Good,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Adequate,Very Good,Good,5,0,3,4,Pass
Student 217,Adequate,Low,No,No,No,No,Yes,No,Medium,Low,Fail,Fail,Adequate,Very Good,Excellent,5,3,0,5,Pass
Student 218,Fair,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Adequate,Poor,Fair,3,5,1,0,Pass
Student 219,Good,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Adequate,Good,Excellent,3,2,3,3,Pass
Student 220,Fair,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Adequate,Very Good,Excellent,3,5,1,5,Pass
Student 221,Fair,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Adequate,Fair,Good,1,3,3,3,Pass
Student 222,Good,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Adequate,Fair,Excellent,4,0,3,1,Pass
Student 223,Adequate,Low,No,No,No,No,Yes,No,Medium,Low,Fail,Fail,Fail,Very Good,Excellent,5,0,2,2,Fail
Student 224,Very Good,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Adequate,Excellent,Poor,0,2,2,1,Pass
Student 225,Adequate,Low,No,Yes,No,No,Yes,No,Low,Low,Fail,Fail,Fail,Excellent,Good,0,5,3,1,Fail
Student 226,Adequate,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Adequate,Excellent,Excellent,0,3,2,0,Pass
Student 227,Adequate,Low,No,No,No,No,Yes,No,Medium,Low,Fail,Fail,Adequate,Very Good,Very Good,4,0,0,2,Pass
Student 228,Fair,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Adequate,Excellent,Excellent,4,0,2,3,Pass
Student 229,Excellent,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Fail,Excellent,Very Good,4,4,0,3,Fail
Student 230,Very Good,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Adequate,Good,Very Good,1,2,1,0,Pass
Student 231,Fair,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Adequate,Excellent,Excellent,2,1,2,4,Pass
Student 232,Fair,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Adequate,Very Good,Fair,2,1,1,2,Pass
Student 233,Very Good,Low,No,No,No,No,Yes,Yes,High,Low,Fail,Fail,Adequate,Excellent,Good,3,0,2,0,Pass
Student 234,Adequate,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Fail,Excellent,Very Good,2,2,1,0,Fail
Student 235,Good,Low,No,No,No,No,Yes,Yes,High,Low,Fail,Fail,Adequate,Adequate,Excellent,3,5,3,3,Pass
Student 236,Adequate,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Adequate,Very Good,Fair,0,0,3,0,Pass
Student 237,Very Good,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Adequate,Very Good,Very Good,4,0,3,3,Pass
Student 238,Good,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Adequate,Excellent,Good,1,2,2,1,Pass
Student 239,Good,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Adequate,Good,Good,1,3,2,5,Pass
Student 240,Good,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Fail,Good,Very Good,2,2,3,0,Fail
Student 241,Fair,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Adequate,Excellent,Excellent,0,0,1,2,Pass
Student 242,Good,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Fail,Excellent,Good,0,1,0,0,Fail
Student 243,Good,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Adequate,Very Good,Poor,1,2,3,1,Pass
Student 244,Very Good,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Fail,Poor,Good,3,0,0,3,Fail
Student 245,Adequate,Low,No,No,No,No,Yes,No,Medium,Low,Fail,Fail,Fail,Fair,Very Good,5,3,1,1,Fail
Student 246,Adequate,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Fail,Fair,Excellent,2,1,1,2,Fail
Student 247,Adequate,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Adequate,Very Good,Excellent,5,0,3,2,Pass
Student 248,Good,Low,No,No,No,No,Yes,No,Medium,Low,Fail,Fail,Fail,Excellent,Excellent,3,5,3,1,Fail
Student 249,Adequate,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Fail,Good,Very Good,5,4,3,1,Fail
Student 250,Adequate,Low,No,No,No,Yes,No,No,Medium,Low,Fail,Fail,Adequate,Adequate,Excellent,0,0,3,1,Pass
Student 251,Fair,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Fail,Good,Excellent,4,1,2,3,Fail
Student 252,Fair,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Fail,Excellent,Excellent,5,1,3,4,Fail
Student 253,Fair,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Fail,Good,Fair,4,3,2,3,Fail
Student 254,Good,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Fail,Poor,Excellent,2,4,2,0,Fail
Student 255,Very Good,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Fail,Very Good,Excellent,4,5,0,1,Fail
Student 256,Very Good,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Fail,Very Good,Good,5,3,3,4,Fail
Student 257,Very Good,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Adequate,Poor,Good,3,1,1,0,Pass
Student 258,Good,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Adequate,Very Good,Adequate,4,4,3,0,Pass
Student 259,Excellent,Low,No,No,No,No,Yes,Yes,Low,Low,Fail,Fail,Adequate,Good,Very Good,1,2,1,4,Pass
Student 260,Adequate,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Adequate,Very Good,Good,3,3,1,2,Pass
Student 261,Very Good,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Adequate,Excellent,Excellent,1,5,0,2,Pass
Student 262,Adequate,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Adequate,Excellent,Excellent,3,3,1,5,Pass
Student 263,Very Good,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Fail,Very Good,Excellent,5,1,2,5,Fail
Student 264,Very Good,Low,No,No,No,No,Yes,Yes,Medium,Low,Fail,Fail,Fail,Poor,Excellent,1,2,0,3,Fail
Student 265,Adequate,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Adequate,Very Good,Adequate,4,3,0,4,Pass
Student 266,Very Good,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Adequate,Good,Very Good,2,1,3,2,Pass
Student 267,Adequate,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Adequate,Good,Fair,1,0,2,3,Pass
Student 268,Good,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Adequate,Good,Excellent,3,4,1,2,Pass
Student 269,Very Good,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Adequate,Good,Very Good,2,3,2,5,Pass
Student 270,Very Good,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Fail,Good,Excellent,2,4,3,1,Fail
Student 271,Excellent,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Fail,Excellent,Fair,2,2,1,2,Fail
Student 272,Fair,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Fail,Good,Very Good,4,2,1,0,Fail
Student 273,Fair,Low,No,No,No,No,No,No,Low,Low,Fail,Fail,Fail,Good,Good,5,5,2,3,Fail
Student 274,Fair,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Fail,Excellent,Good,1,5,2,4,Fail
Student 275,Good,Low,No,No,No,No,No,No,Low,Low,Fail,Fail,Adequate,Excellent,Good,1,3,1,0,Pass
Student 276,Fair,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Fail,Excellent,Excellent,0,4,0,0,Fail
Student 277,Very Good,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Fail,Fair,Good,0,3,1,1,Fail
Student 278,Adequate,Low,No,No,No,No,No,No,Low,Low,Fail,Fail,Adequate,Excellent,Excellent,1,3,3,0,Pass
Student 279,Good,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Fail,Excellent,Very Good,0,3,0,4,Fail
Student 280,Adequate,Low,No,No,No,Yes,Yes,No,Low,Low,Fail,Fail,Adequate,Good,Good,1,1,3,2,Pass
Student 281,Fair,Low,No,No,No,No,Yes,No,Low,Low,Fail,Fail,Adequate,Good,Good,0,4,3,3,Pass
Student 282,Good,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Adequate,Very Good,Good,2,1,0,4,Pass
Student 283,Good,Low,No,No,No,No,No,No,Low,Low,Fail,Fail,Fail,Good,Excellent,0,1,0,4,Fail
Student 284,Fair,Low,No,No,No,No,No,No,Low,Low,Fail,Fail,Adequate,Poor,Excellent,0,2,2,2,Pass
Student 285,Good,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Fail,Excellent,Excellent,1,1,2,4,Fail
Student 286,Fair,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Adequate,Excellent,Fair,5,5,1,4,Pass
Student 287,Good,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Adequate,Very Good,Excellent,5,5,0,0,Pass
Student 288,Adequate,Low,No,No,Yes,No,Yes,No,Low,Low,Fail,Fail,Adequate,Excellent,Adequate,3,3,2,5,Pass
Student 289,Very Good,Low,No,No,No,No,No,No,Low,Low,Fail,Fail,Fail,Excellent,Very Good,1,2,1,0,Pass
Student 290,Fair,Low,No,No,No,No,No,No,Low,Low,Fail,Fail,Adequate,Very Good,Very Good,3,0,0,5,Pass
Student 291,Fair,Low,No,No,No,No,No,No,Low,Low,Fail,Fail,Adequate,Good,Poor,2,2,0,0,Pass
Student 292,Good,Low,No,No,No,No,Yes,No,Medium,Low,Fail,Fail,Adequate,Excellent,Excellent,1,0,2,2,Pass
Student 293,Fair,Low,No,No,No,No,No,No,High,Low,Adequate,Fail,Adequate,Very Good,Excellent,1,5,3,0,Pass
Student 294,Fair,Low,Yes,No,No,No,No,No,High,Low,Fail,Fail,Adequate,Poor,Good,1,3,3,4,Pass
Student 295,Good,Low,No,No,No,No,No,No,High,Low,Adequate,Fail,Adequate,Very Good,Excellent,0,3,0,0,Pass
Student 296,Excellent,Low,No,No,No,No,No,No,High,Low,Adequate,Fail,Adequate,Good,Very Good,5,0,1,4,Pass
Student 297,Adequate,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Adequate,Good,Excellent,4,2,3,5,Pass
Student 298,Adequate,Low,No,No,No,No,No,No,Medium,Low,Adequate,Fail,Fail,Very Good,Very Good,5,4,1,2,Pass
Student 299,Fair,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Adequate,Excellent,Very Good,1,0,3,2,Pass
Student 300,Good,Low,No,No,No,No,No,No,High,Low,Adequate,Adequate,Fail,Good,Excellent,1,0,3,5,Pass
Student 301,Fair,Low,No,No,No,No,No,No,High,Low,Adequate,Fail,Adequate,Fair,Excellent,2,2,0,4,Pass
Student 302,Good,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Adequate,Very Good,Excellent,3,2,1,5,Pass
Student 303,Good,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Fail,Fair,Excellent,1,5,1,5,Fail
Student 304,Adequate,Low,No,No,No,No,Yes,No,High,Low,Adequate,Adequate,Fail,Excellent,Good,3,5,3,0,Pass
Student 305,Fair,Low,No,No,No,No,No,No,Medium,Low,Adequate,Adequate,Fail,Excellent,Excellent,0,2,1,3,Pass
Student 306,Adequate,Low,No,No,No,No,Yes,No,High,Low,Adequate,Adequate,Fail,Good,Very Good,4,0,1,3,Pass
Student 307,Adequate,Low,No,No,No,No,Yes,No,High,Low,Adequate,Fail,Fail,Excellent,Excellent,0,4,2,2,Pass
Student 308,Good,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Fail,Poor,Good,4,3,2,5,Fail
Student 309,Good,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Adequate,Good,Poor,5,2,3,4,Pass
Student 310,Fair,Low,No,No,No,No,No,No,Medium,Low,Adequate,Fail,Adequate,Excellent,Excellent,0,2,2,3,Pass
Student 311,Good,Low,No,No,No,No,No,No,Medium,Low,Fair,Adequate,Fail,Very Good,Excellent,0,0,1,5,Pass
Student 312,Excellent,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Fail,Poor,Excellent,3,2,0,2,Fail
Student 313,Fair,Low,No,No,No,No,No,No,High,Low,Fair,Adequate,Fail,Good,Good,4,5,2,5,Pass
Student 314,Adequate,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Fail,Excellent,Good,5,4,2,2,Fail
Student 315,Fair,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Fail,Very Good,Very Good,3,0,1,4,Fail
Student 316,Fair,Low,No,No,No,No,No,No,High,Low,Fair,Fail,Fail,Excellent,Very Good,3,3,3,0,Pass
Student 317,Adequate,Low,No,Yes,Yes,No,Yes,No,Medium,Low,Adequate,Fail,Fail,Excellent,Very Good,2,2,0,3,Pass
Student 318,Very Good,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Fail,Excellent,Fair,3,5,0,3,Fail
Student 319,Good,Low,No,No,No,No,No,No,High,Low,Adequate,Fail,Fail,Excellent,Good,2,4,2,3,Pass
Student 320,Adequate,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Fail,Excellent,Fair,4,2,1,5,Fail
Student 321,Fair,Low,No,No,No,No,No,No,High,Low,Good,Adequate,Fail,Good,Fair,4,4,3,2,Pass
Student 322,Fair,Low,No,No,No,No,No,No,High,Low,Adequate,Fail,Fail,Very Good,Excellent,5,2,2,0,Pass
Student 323,Adequate,Low,No,Yes,Yes,No,Yes,No,Low,Low,Adequate,Fail,Good,Poor,Excellent,1,5,3,0,Pass
Student 324,Adequate,Low,No,No,No,No,No,No,High,Low,Adequate,Fail,Adequate,Excellent,Excellent,1,3,3,4,Pass
Student 325,Good,Low,No,No,No,No,Yes,No,Low,Low,Adequate,Fail,Adequate,Good,Very Good,0,3,0,0,Pass
Student 326,Adequate,Low,No,No,Yes,No,Yes,No,High,Low,Fail,Adequate,Fail,Excellent,Very Good,5,0,1,4,Fail
